ds,y
2020-01-01,0.0
2020-01-02,0.024508338989300896
2020-01-03,0.19489989109864453
2020-01-04,0.6512587579387594
2020-01-05,1.5222332178468314
2020-01-06,2.919719789962172
2020-01-07,4.934018496853269
2020-01-08,7.629598051010915
2020-01-09,11.041594522450273
2020-01-10,15.173148760715577
2020-01-11,19.993666873010405
2020-01-12,25.43806489303173
2020-01-13,31.407033957089578
2020-01-14,37.76833642031465
2020-01-15,44.35911700835055
2020-01-16,50.98918693423362
2020-01-17,57.44521354046082
2020-01-18,63.49572406149952
2020-01-19,68.89681012188345
2020-01-20,73.39840012660892
2020-01-21,76.75095024575678
2020-01-22,78.71239165971456
2020-01-23,79.05516245448781
2020-01-24,77.5731472934433
2020-01-25,74.08834690683413
2020-01-26,68.45710260305911
2020-01-27,60.575708388045086
2020-01-28,50.38525475641225
2020-01-29,37.87556357005436
2020-01-30,23.08809235543332
2020-01-31,6.117708434692287
2020-02-01,-12.88674191426048
2020-02-02,-33.723117135456896
2020-02-03,-56.13793627400169
2020-02-04,-79.82959698703944
2020-02-05,-104.4528159166375
2020-02-06,-129.62422236370517
2020-02-07,-154.92900799539538
2020-02-08,-179.9285088543112
2020-02-09,-204.16857184301153
2020-02-10,-227.18853671273064
2020-02-11,-248.53064691263435
2020-02-12,-267.7496889056628
2020-02-13,-284.4226500972108
2020-02-14,-298.15818063053064
2020-02-15,-308.6056441564365
2020-02-16,-315.46354735991287
2020-02-17,-318.4871474917031
2020-02-18,-317.49505127130504
2020-02-19,-312.3746370566066
2020-02-20,-303.0861547715052
2020-02-21,-289.6653843087315
2020-02-22,-272.22476245734873
2020-02-23,-250.95292024417077
2020-02-24,-226.11260626355
2020-02-25,-198.03700638899417
2020-02-26,-167.12450546662
2020-02-27,-133.83197141944848
2020-02-28,-98.66667587551794
2020-02-29,-62.176997218498656
2020-03-01,-24.942081124375257
2020-03-02,12.439340483874341
2020-03-03,49.36074917368507
2020-03-04,85.22001803262252
2020-03-05,119.43171497816239
2020-03-06,151.4392709701126
2020-03-07,180.72675087207622
2020-03-08,206.82996844824535
2020-03-09,229.34669634583244
2020-03-10,247.94573678907534
2020-03-11,262.37463886571516
2020-03-12,272.4658733724369
2020-03-13,278.1413057429392
2020-03-14,279.41484104986085
2020-03-15,276.3931517971157
2020-03-16,269.2744384709101
2020-03-17,258.3452138001171
2020-03-18,243.97514354592815
2020-03-19,226.61001852188792
2020-03-20,206.76297355083975
2020-03-21,185.00410831295792
2020-03-22,161.94870167138433
2020-03-23,138.2442442642975
2020-03-24,114.55654317042148
2020-03-25,91.55517661213119
2020-03-26,69.89859537208811
2020-03-27,50.21918038734938
2020-03-28,33.1085724881687
2020-03-29,19.10359023287033
2020-03-30,8.673045153889689
2020-03-31,2.2057505090370726
2020-04-01,2.8120495924909837e-29
2020-04-02,2.2547671870156805
2020-04-03,9.062844936086995
2020-04-04,20.406107748747758
2020-04-05,36.153038923862255
2020-04-06,56.05861996727361
2020-04-07,79.76663236579432
2020-04-08,106.81437271415268
2020-04-09,136.63973221532203
2020-04-10,168.59054178572865
2020-04-11,201.9360354174049
2020-04-12,235.8802380990214
2020-04-13,269.57704146501885
2020-04-14,302.146691362517
2020-04-15,332.6933775626291
2020-04-16,360.32358766858425
2020-04-17,384.1648655518317
2020-04-18,403.38459992011457
2020-04-19,417.2084612936273
2020-04-20,424.9381059961568
